Name,URL,Rating,City,Location,Jobs,Reviews,Best About,Description,Company Overview,General Information,Key Skills,Why You'll Love Working Here
SOLIS LAB,https://itviec.com/companies/solis-lab/review,5.0,Ha Noi,"Tầng 4 - tòa nhà Hà Thành Plaza - 102 Thái Thịnh, Ha Noi",1,3,Salary & benefits,A company with vast experience in full-stack branding and e-commerce dev...,"A company with vast experience in full-stack branding and e-commerce development
SOLIS LAB consists of all-rounded technicians who are experts in Design and Web Development. Our greatest strength is the ability to build user-centric software solutions using AGILE software development methods. Working with SOLIS LAB, our clients can focus on what they do best while we keep innovating on the engineering front.
Company website","Company type
IT Outsourcing
Company industry
Software Development Outsourcing
Company size
1-50
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT","Technologies We Use
HTML5
CSS
Wordpress
PHP
JavaScript
NodeJS
WordPress theme and plugin development
Modern JavaScript development (Webpack, Babel, ES6, NodeJS, Vue, React)
Semantic HTML5 via BEM convention
CSS3 (modularized using SASS or post-css)
CI/CD","Small cohesive team of excellent individuals
Skill up quickly at web dev, UX and design
Bonuses for project completion and top performers
+3
Experience a fast-paced development agency life in a team that values leadership, craftsmanship, innovation, teamwork, and simplicity.
Our team updates technology stacks, conventions, and workflows constantly. We move fast and learn faster. Stagnation or mediocrity is not acceptable. Continuous improvement is our way of life. If you're bothered by any of these things, don't apply.
If that doesn't bother you, then you are one of us, and you will love this. Your experience and skills will grow more quickly than those of your peers in other companies. All we focus on is learning and improving through our day-to-day work, and at the same time, enjoying the company of our colleagues, whom we select very carefully.
We also provide the following benefits:
Total annual income equivalent to 14 months of salary (standard salary + Tet + bonus).
Professional working environment: We provide you with top-notched tools including MacBook Pro, iPhone, Android devices for testing. We don't aim to micro-manage our employees. You will be the one who manages our expectations.
A clear vision of your career progress: Performance/Roadmap review every 3 months. Growth tracks and career roadmap are carefully designed to build your confidence as you progress through the levels.
Grow to be a Specialist or Jack of all trade: Opportunity to work with modern but pragmatic tech stacks for front-end and back-end. We pay for any courses, books, or conferences that you need to level up your skills.
You are encouraged to have a life outside of work. Besides public holidays, you get 12 paid days off a year. Our fun and engaging reward system let you book extra paid leaves or remote working days for your efforts as a team player. You get one extra day off for every year you work at Solis Lab.
Yearly health check-up. We also provide premium health insurance for family members of senior-level members. There are regular team-building activities, trips, parties.
View more
View less"
Tadidi JSC,https://itviec.com/companies/tadidi-jsc/review,3.7,Ho Chi Minh,"Tòa nhà Waseco số 10 Phổ Quang, Tan Son Hoa, Ho Chi Minh",1,3,Management cares about me,Tadidi JV JSC is one of the leading company in products &amp; services f...,"Tadidi JV JSC is one of the leading company in products & services for Travel & Hospitality
About the company
Tadidi JV JSC is a shareholder between Australia & Vietnam with more than 15 years of experience in e-commerce & technical solutions in hospitality.
We are running 2 big projects, including:
1/ Hotel Link - A leading company that provide solutions for hospitality, such as: Channel Manager, Booking Engine, Booking Widget, PMS….
Website: https://www.hotellinksolutions.com
2/ Kovena -
is the world’s simplest hospitality payment solution. Helping hospitality tech ventures understand & unlock revenue potential to fuel their global growth. Kovena provides both an alternative to inhouse expertise as well as flexible, white-labelled technology to empower platforms, allowing them to focus on what they do best.
Website:
https://kovena.com/
Company website
Facebook Page","Company type
IT Product
Company industry
Tourism and Hospitality Services
Company size
51-150
employees
Country
Vietnam
Working days
Monday - Friday","Our Key Skills
PHP
MySQL
JQuery
NoSQL
Drupal
Laravel","Competitive salary based on ability.
SHUI & PIT based on full paid salary.
Mid-autumn gift, wedding & maternity bonus.
+3
Why You'll Love Working Here
Competitive salary based on ability.
14 annual leaves in a year: 12 annual leaves + 1 day for birthday + 1 day on Christmas.
Happy Hour every 4 weeks.
Many parties: Badminton team, Mid-Autumn festival, Christmas Day, New Year….
SHUI & PIT based on full paid salary.
Not OT, have time for yourself.
Multi-national colleagues.
Company trip every year.
Many benefits: mid-autumn gift, wedding & maternity bonus.
A laptop for work.
View more
View less"
VTC Online,https://itviec.com/companies/vtc-online/review,3.7,Ha Noi,"18 Tam Trinh, Ha Noi",1,3,Salary & benefits,Cuộc sống tươi đẹp,"Cuộc sống tươi đẹp
Công ty cổ phần VTC Truyền thông Trực tuyến (viết tắt là VTC Online) là một đơn vị thành viên trực thuộc Tổng Công ty Truyền thông Đa phương tiện Việt Nam - VTC. VTC Online được thành lập năm 2008, hoạt động trong lĩnh vực công nghiệp nội dung số, một trong 3 mũi nhọn TMT (Technology - Media - Telecom) đang được VTC tập trung phát triển trong chiến lược tổng thể “KINH TẾ TRUYỀN THÔNG TRI THỨC SỐ”.
Là công ty thành viên của Tổng Công ty truyền thông hàng đầu Việt Nam, VTC Online được thừa hưởng bề dày hơn 35 năm kinh nghiệm cũng như nền tảng vững chắc về thương hiệu, sức mạnh tổng hợp. Cộng với đội ngũ chuyên nghiệp, trẻ trung, năng động, nhiệt huyết, VTC Online đã nhanh chóng đạt được nhiều thành công trong các lĩnh vực: phát hành game, sản xuất game, mạng xã hội, thanh toán điện tử, đào tạo công nghệ và nội dung số, giáo dục trực tuyến...
Nhanh nhạy nắm bắt những cơ hội và thách thức mới, VTC Online đang vươn mình trở thành công ty hàng đầu trong lĩnh vực công nghệ và nội dung số tại Việt Nam, cùng với khát vọng sẽ mang sản phẩm của trí tuệ và sức sáng tạo của người Việt Nam ra với thế giới.
Company website
Facebook Page","Company type
IT Product
Company industry
Game
Company size
51-150
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
Extra salary for OT","Our Key Skills
ASP.NET
C#
Unity
HTML5
CSS
Games","Môi trường làm việc trẻ trung, thân thiện
Chế độ đãi ngộ hấp dẫn
Thương hiệu mạnh, uy tín lâu năm trên thị trường
+3
Môi trường làm việc chuyên nghiệp
, trẻ trung và năng động, phát huy khả năng sáng tạo của bản thân
Văn hóa
“Chủ động – Đổi mới – Đồng đội – Tận tâm”
giúp mỗi cá nhân đều được khuyến khích tự đề xuất ý tưởng, làm chủ dự án và tạo ra giá trị riêng.
Chế độ phúc lợi toàn diện
- Cuộc sống tươi đẹp:
Thu nhập cạnh tranh, hệ thống thang bảng lương rõ ràng, minh bạch
Không giới hạn mức thưởng, chi trả thưởng dựa trên performance, hiệu quả công việc đạt được, thưởng KPI
Thưởng tất cả các ngày Lễ, Tết trong năm, thưởng sinh nhật Công ty
Chế độ Bảo hiểm xã hội theo quy định Nhà nước và Bảo hiểm chăm sóc sức khỏe đặc biệt VTC Online Care
Phụ cấp ăn trưa và máy tính
Nghỉ lễ, Tết theo quy định của Nhà nước
Chính sách teambuilding, dã ngoại; gói du lịch hàng năm giá trị hơn 10 triệu đồng/người
Thời gian làm việc:
8h30 – 17h30 từ Thứ Hai - Thứ Sáu.
View more
View less"
D2M,https://itviec.com/companies/d2m,,,"3 Đường Số 5, KDC Cityland Park Hills, Ho Chi Minh",,,,,"CÔNG TY TNHH CONG NGHE VA DICH VU D2M
D2M Studio là một team trẻ với châm ngôn chính là ""Làm Game Có Tâm""
- Từng đạt
Top 6 Vietnam Publisher
trên bảng xếp hạng quốc tế.
- Chúng tôi đã có nhiều sản phẩm puzzle thành công như
Cake Sort, Hexa Sorting, Block Slide,...
- Với đội ngũ lean, sáng tạo và tập trung vào chất lượng, D2M hướng đến việc tạo ra các tựa game tinh tế, chạm cảm xúc người chơi.
- Team D2M tự làm và sản xuất game với ý tưởng mới lạ, bựa và vui nhộn.
- Team D2M phục vụ làm game cho các khách hàng của team với nhiều thể loại game đa dạng, chất lượng cao
- Định hướng tạo sản phẩm chất lượng Game Global
Tham gia D2M để cùng nhau học hỏi và tham gia vào quá trình sản xuất 1 game từ A-Z (Design, Sản xuất, Bàn Giao, Vận Hành)
Company website","Company type
IT Product
Company industry
Game
Company size
1-50
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT","C#
Unity
Games
Android
iOS","Chỉ Có Game, Game & Game
Trẻ, Nhiệt Huyết và Sáng Tạo
Nhiều thể loại Global và NFT Game
Mức lương: thỏa thuận
Lương review 1 lần/năm.
Thưởng theo hiệu quả kinh doanh hàng năm và kết quả của nhân viên.
Làm việc tại môi trường thoải mái, trẻ trung, chuyên nghiệp khuyến khích sự sáng tạo và phát triển cá nhân.
Các chế độ chính sách đầy đủ theo luật lao động: BHXH, BHYT, BHTN, nghỉ lễ tết
Được hỗ trợ thiết bị làm việc như máy tính, các thiết bị chơi/test app, game, ...
Party sinh nhật mỗi tháng, company trip, thưởng.
Hoạt động thể thao hàng tuần: cầu lông, đá banh, bida,…
Được tiếp cận và sử dụng các công cụ AI trong công việc hàng ngày.
Làm việc từ thứ 2 đến thứ 6. Giờ làm việc: từ 9h00 - 18h30 (Nghỉ trưa: 12h - 13h30).
Không hoặc rất ít OT.
View more
View less"
AWING,https://itviec.com/companies/awing,,,"Tầng 11, Tòa nhà King Building, Số 7 Chùa Bộc, Ha Noi",,,,,"AWING là đơn vị dẫn đầu xu thế về các dịch vụ trên di động Mobile Location-Based Marketing
VỀ AWING
AWING là công ty công nghệ về quảng cáo tiên phong xây dựng một kênh truyền thông (media platform) hoàn toàn mới tại Việt Nam và Đông Nam Á – không dựa vào nội dung để tạo traffic, mà sử dụng công nghệ và dữ liệu vị trí người dùng thực tế kích hoạt sự chú ý đúng thời điểm, đúng vị trí – nơi hành vi tiêu dùng thật sự diễn ra để tạo ra kết nối hiệu quả giữa thương hiệu và hơn 40 triệu người tiêu dùng trên nền tảng.
Với sự đầu tư chiến lược từ NTT e-Asia (thuộc tập đoàn NTT – Top 4 tập đoàn viễn thông – CNTT lớn nhất thế giới), AWING đang mở rộng mạnh mẽ trong khu vực ASEAN và từng bước định hình một chuẩn mới cho kênh quảng cáo gắn liền tiêu dùng cao ở mỗi quốc gia. Vị trí Full-stack Developer là cơ hội tuyệt vời để bạn tham gia vào hành trình đưa sản phẩm công nghệ “Made in Vietnam” vươn ra thị trường quốc tế.
HÃY ĐỒNG HÀNH CÙNG AWING
Với chiến lược mở rộng kinh doanh sang các quốc gia ASEAN, AWING đang có những bước chuyển mình mạnh mẽ cả về nhân sự lẫn quy mô. Đây là cơ hội tuyệt vời để bạn gia nhập công ty và trở thành một phần quan trọng của giai đoạn tăng trưởng đầy hứa hẹn này.
Tại AWING, bạn sẽ có cơ hội học hỏi, phát triển nhanh chóng, và tận dụng nhiều cơ hội thăng tiến hấp dẫn, hướng tới các vị trí quản lý cấp cao. Chúng tôi tự hào mang đến phúc lợi cạnh tranh, môi trường làm việc năng động và cam kết phát triển chuyên môn, tạo nền tảng vững chắc để bạn xây dựng sự nghiệp lâu dài và thành công.
Company website","Company type
IT Product
Company industry
Software Products and Web Services
Company size
51-150
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT",".NET
ReactJS
TypeScript
NoSQL","Môi trường làm việc năng động, tự chủ thời gian
Cơ hội thăng tiến, phát triển sự nghiệp
Ghi nhận sáng kiến, tôn trọng sự khác biệt
+3
Lương & thưởng cạnh tranh.
Phụ cấp ăn trưa.
Thưởng tháng lương thứ 13 theo tình hình kinh doanh của công ty.
Xét tăng lương 6 tháng/ lần theo thành tích đóng góp.
Điều kiện làm việc linh hoạt.
Môi trường sáng tạo, năng động.
Thường xuyên tổ chức du lịch, team building.
Cơ hội thăng tiến lên vị trí Leader, Manager.
Chính sách thưởng cổ phần cho Key member, có đóng góp quan trọng cho công ty.
Hưởng đầy đủ các chế độ đãi ngộ theo quy định của pháp luật.
View more
View less"
CommandOSS,https://itviec.com/companies/commandoss,,,"54 - 56 Lê Quốc Hưng, Phường 13, Ho Chi Minh",,,,,"CommandOSS
CommandOSS (chi nhánh Việt Nam của Mysten Labs) là công ty phần mềm tại TP. Hồ Chí Minh, chuyên phát triển các giải pháp blockchain trong hệ sinh thái Sui – nền tảng blockchain tiên tiến được cộng đồng quốc tế đánh giá cao. Công ty chúng tôi tập trung vào:
Ứng dụng NFT, token, ví điện tử
Tích hợp blockchain với AI, IoT, phần cứng
Hệ thống bảo mật và mật mã học
Giải pháp blockchain cho chính phủ, startups và cộng đồng toàn cầu","Company type
IT Product
Company industry
AI Software & Services
Company size
1-50
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT","Fullstack
Blockchain
DevOps
English
JavaScript
React Native","Đãi ngộ hấp dẫn
Làm việc tại công ty blockchain hàng đầu ở Mỹ
Khám phá ngành blockchain, xu hướng của tương lai
View more
View less"
ISOFH,https://itviec.com/companies/isofh,,,"Tòa VOV, 35 Nguyễn Đình Chiểu, Hai Ba Trung, Ha Noi",,,,,"Công ty Cổ phần Công nghệ ISOFH và Công ty TNNH 1 thành viên ISOFHCARE trực thuộc tập đoàn IVI Group
ISOFH
là công ty công nghệ trực thuộc tập đoàn IVI Group, tập trung phát triển mảng Công nghệ thông tin trong lĩnh vực Y tế, với 02 sản phẩm nổi bật là HIS (Quản lý bệnh viện) và ERM (Hồ sơ bệnh án điện tử), ISOFH mục tiêu sẽ trở thành công ty số 1 Việt Nam đồng hành cùng sự phát triển ngành Y tế. Chúng tôi cần có sự đồng hành, đóng góp của các bạn để cùng phát triển nhanh hơn nữa. ISOFH tin vào sức mạnh của tập thể trong việc giải quyết dứt điểm và triệt để các bài toán cụ thể, thực tế, đặc biệt là các bài toàn quản trị.
ISOFHCARE
là công ty công nghệ trực thuộc tập đoàn IVI Group, cung cấp các
dịch vụ chăm sóc sức khỏe hiện đại, chủ động và hiệu quả
với Ứng dụng khám bệnh trực tuyến và đặt lịch khám online - IVIE;
Phần mềm quản lý nhà thuốc và bán thuốc online chuyên biệt hàng đầu dành cho nhà thuốc và chuỗi nhà thuốc
- IRIS. ISOFHCARE đã đồng hành với các đối tác là các Bệnh viện, các phòng khám, cơ sở y tế tại Hà Nội và hỗ trợ hàng ngàn người bệnh. ISOFHCARE không ngừng mở rộng phạm vi với các đối tác khách hàng tại tất cả các tỉnh thành trong cả nước.
Đại gia đình IVI Group luôn tràn đầy nhiệt huyết, có chuyên môn và nhiều kinh nghiệm về phát triển sản phẩm công nghệ luôn sẵn sàng chia sẻ và hỗ trợ công việc với bạn. Chúng tôi trao cho bạn sự chủ động và dám thử thách bản thân để cùng nhau phát triển các sản phẩm, phát triển đội ngũ nhân viên từng bước chuyên nghiệp, trưởng thành hơn, cùng nhau bắt tay để thực hiện một mục tiêu chung.
""Muốn đi nhanh hãy đi một mình.
Muốn đi xa hãy đi với những người hiểu, tin và làm cùng bạn""
Company website
Facebook Page","Company type
IT Product
Company industry
Healthcare
Company size
301-500
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
Extra salary for OT","Our Key Skills
Java
HTML5
MySQL
MVC
J2EE","+3
Mức lương: Thỏa thuận tùy theo năng lực và kinh nghiệm
Thưởng các ngày lễ, tết, lương tháng 13, thưởng thâm niên 5tr/năm
Review lương 1 lần/năm
Tham gia đầy đủ BHXH theo quy định
Gói bảo hiểm sức khỏe Bảo Việt theo thâm niên
Cơ hội được tiếp cận với nhiều công nghệ mới
Cơ hội phát triển sự nghiệp, tham gia các khóa đào tạo nội bộ nâng cao chuyên môn.
Sử dụng sách miễn phí tại thư viện và các trò chơi giải trí: PS5, Bi lắc, ….
Được tham gia đa dạng hoạt động nội bộ : 8/3, 20/10, giáng sinh, sinh nhật, teambuilding, tiệc cuối năm Year-end Party, khám sức khỏe định kỳ hàng năm,...
Môi trường làm việc trẻ trung, năng động và chuyên nghiệp
Cơ hội phát huy tối đa năng lực và phát triển bản thân.
View more
View less"
Wilmar CLV (Cambodia Laos Vietnam),https://itviec.com/companies/wilmar-clv-cambodia-laos-vietnam,,,"235 Nguyễn Văn Cừ, Ho Chi Minh",,,,,"Wilmar CLV (Cambodia Laos Vietnam)
Wilmar CLV (Cambodia Laos Vietnam) -- tập đoàn kinh doanh và sản xuất dầu ăn, chất béo, cám gạo, bột mì
Có mặt lần đầu tiên tại Việt Nam từ năm 1998, Wilmar CLV tự hào là tập đoàn hàng đầu trong khu vực với 4 mảng kinh doanh chính: Thực phẩm, Nguyên liệu Thức ăn chăn nuôi, Sản phẩm hóa dầu và Hệ thống Phân phối chuyên nghiệp. Đến nay, Wilmar CLV đã thành công trong việc xây dựng nền móng vững chắc với sự hiện diện của 8 công ty thành viên, 4 văn phòng, 10 nhà máy và hơn 2.300 nhân viên. Hiện tại, 7 trên tổng số 10 cơ sở sản xuất ở Việt Nam không chỉ cung cấp sản phẩm đến khách hàng công nghiệp mà còn là nhà sản xuất các mặt hàng tiêu dùng như dầu ăn và chất béo, bột mì, gạo, các sản phẩm giá trị gia tăng từ ngũ cốc (bột trộn sẵn, mì trứng, nui) cũng như nước chấm và gia vị. Sứ mệnh của Wilmar CLV là nâng cao sự hài lòng của khách hàng và người tiêu dùng thông qua việc cung cấp sản phẩm chất lượng đẳng cấp quốc tế với chi phí tối ưu.
★ Những kênh social media chính thức của Wilmar CLV:
+ Facebook: https://www.facebook.com/WilmarCLV
+ YouTube: http://www.youtube.com/c/WilmarCLV
Facebook Page","Company type
Non-IT
Company industry
Retail and Wholesale
Company size
1000+
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT","Our Key Skills
QA QC
ERP
Business Analysis",
Annam Software Company,https://itviec.com/companies/annam-software-company,,,"Binh Loi Villa Riverside , Ho Chi Minh",,,,,"Annam Software
Annam Software with 100% investment capital from European Investors. It's role is to be the sole development center for a European provider of CRM Software (SAAS) and related mobile apps and services, that is established in the market since 2005.
We offer - professional working environments with young and motivated teams - projects using state-of-the-art technologies and Agile methodologies - flat hierarchies and cross-divisional collaboration - very attractive remuneration package - highest standard workplace - many advantages.
We are looking for partners who successor our products.
https://player.vimeo.com/video/197691612?autoplay=1&quality=1080p
Company website","Company type
IT Product
Company industry
Software Products and Web Services
Company size
1-50
employees
Country
Belgium
Working days
Monday - Friday
Overtime policy
No OT","Use new technologies to make best software
.NET
Xamarin
VueJS
SQL
NodeJS
We always research and
apply new technologies
to make The Best Software as:
- Best user Behavior.
- Best Performance.
- Stable and High Visibility.","Multiple platforms - Techologies - More Challenges
Work with large CMR Software and 500+ Customers
Opportunities to travel/work to the U.S, EU
+2
We value our people and always want to support our staff with all the best conditions that we can. If you want to learn more about what we are offering, let's join us today!
- Have opportunities to travel to the US, EU for business trip when required.
- Flexible working time
- 3F environment (Fun - Friendly - Flexible)
✓ Very competitive salary that matches with your talents and contributions.
► Junior+ level: $600 – $1,000 / month.
► Senior level: $1,200 – $1,800 / month.
► Senior+/Lead level: $1,800 – $2,500+ / month.
✓ Attractive salary package + 13th payment
✓ Annual performance review
✓ Surprised bonuses that recognize outstanding contributions.
✓ Work, learn, share and have fun with talented, young, dynamic & friendly colleagues
✓ Flat hierarchies and cross- divisional collaboration.
✓ Project using state- of- the- art technologies and Agile methodologies.
✓ Professional working environments with
young and motivated teams
✓ Labor contract, social insurance, unemployment insurance are fully based on Vietnamese law.
✓ Extra Health Insurance
✓ Annual paid leave: 13 days, Up To 24 days
✓ Annual Company luxury trip
✓ Working devices are provided.
✓ Clearly defined long-term career road-map for those who are qualified.
✓ Other team building activities.
We are urgently looking for those who match this position: if this sounds like you, we can't wait to hear from you -- please update your CV with all the great things your have and apply today!
View more
View less"
Trung tâm công nghệ thông tin MobiFone,https://itviec.com/companies/trung-tam-cong-nghe-thong-tin-mobifone,,,"Tầng 9-10, tòa nhà Thái Nam, đường Dương Đình Nghệ, phường Yên Hòa, Ha Noi",,,,,"Nâng tầm cuộc sống
Trung tâm Công nghệ Thông tin MobiFone là đơn vị trực thuộc Tổng Công ty Viễn thông MobiFone, hoạt động trong lĩnh vực nghiên cứu, sản xuất, phát triển mới các phần mềm, cung cấp ứng dụng Công nghệ thông tin, giải pháp công nghệ, dịch vụ phần mềm... cho các đơn vị, khách hàng trong và ngoài Tổng Công ty. Tại Trung tâm Công nghệ Thông tin MobiFone, các ứng viên sẽ được làm việc trong môi trường chuyên nghiệp, ổn định; được tham gia các khoá đào tạo nâng cao về chuyên môn, các chế độ ưu đãi và cơ hội phát triển nghề nghiệp.
Company website
Facebook Page","Company type
IT Product
Company industry
Software Products and Web Services
Company size
301-500
employees
Country
Vietnam
Working days
Monday - Friday","Our Key Skills
SQL
Android
iOS
JavaScript
J2EE
Java","Môi trường làm việc năng động, chuyên nghiệp
Cơ hội thăng tiến cao trong công việc
Chế độ đãi ngộ và phúc lợi tốt
+2
Chế độ đãi ngộ hấp dẫn:
Thu nhập lên đến 400 triệu/năm
Làm việc trong môi trường chuyên nghiệp, ổn định
Các chế độ bồi dưỡng, phụ cấp ăn trưa, phụ cấp thuê bao nội bộ
Chương trình chăm sóc sức khỏe phong phú:
Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp theo luật bảo hiểm
Gói Bảo hiểm sức khỏe dành riêng cho CBCNV, chăm sóc sức khỏe bởi gói Bảo hiểm với quyền lợi lên tới $8000
Chế độ chăm sóc phụ nữ: Nghỉ sau sinh cho nhân viên nữ có con dưới 1 tuổi: 1h/ngày
Chương trình đạo tạo và cơ hội phát triển
Thường xuyên tham dự các khóa đào tạo phong phú nhằm giúp CBCNV không ngừng phát triển bản thân, nâng cao các kỹ năng cũng như chuyên môn nghề nghiệp
Các khóa đào tạo kỹ năng mềm, kỹ năng quản lý
Các khóa học tiếng anh
Các khóa học cập nhật công nghệ mới, nâng cao trình độ chuyên môn trong các lĩnh vực CNTT
Hoạt động tập thể đa dạng, phong phú:
Trải nghiệm các hoạt động teambuilding, văn hóa, du lịch, du xuân, nghỉ mát hè trong và ngoài nước đa dạng…
Các sự kiện chào mừng các ngày kỷ niệm, Gala Diner,…
Các giải đấu thể thao, hội thao
View more
View less"
Amigo,https://itviec.com/companies/amigo,,,"2nd floor, Eximland building, 179 EF Cach Mang Thang 8, Ward 5, Ho Chi Minh",,,,,"Cung cấp giải pháp, thiết bị và dịch vụ công nghệ thông tin cho nhiều ngành kinh tế
Công ty Cổ phần Công nghệ Bằng Hữu (Amigo) là công ty cung cấp giải pháp, thiết bị và dịch vụ công nghệ thông tin cho nhiều ngành kinh tế, đặc biệt trong lĩnh vực tài chính ngân hàng, hành chính công, doanh nghiệp vừa và nhỏ.
Mục tiêu của chúng tôi là thỏa mãn các nhu cầu của khách hàng với sản phẩm chất lượng hàng đầu thế giới, công nghệ hiện đại, giải pháp chìa khóa trao tay và dịch vụ chất lượng cao theo phong cách chuyên nghiệp.
Amigo Technologies hiện là đối tác chiến lược của nhiều nhà cung cấp giải pháp và thiết bị CNTT hàng đầu trên thế giới như IBM, HP, Oracle, Lenovo,...Cùng với các đối tác, đội ngũ tư vấn và kỹ thuật của Amigo đã triển khai thành công nhiều dự án công nghệ thông tin thuộc nhiều lĩnh vực khác nhau.
Company website","Company type
IT Outsourcing
Company industry
IT Services and IT Consulting
Company size
51-150
employees
Country
Vietnam
Working days","Our Key Skills
System Architecture
Networking
Embedded
English
Project Management
Oracle","+2
** Quyền lợi được hưởng:
Lương, thưởng cạnh tranh so với thị trường/ kết quả kinh doanh.
Môi trường làm việc chuyên nghiệp
Đầy đủ các chế độ chính sách theo Luật Lao động và Nội quy, Quy chế của công ty.
Được tham gia các chương trình đào tạo của Công ty.
Nghỉ thứ bảy và chủ nhật hàng tuần.
** Amigo là nơi để bạn:
Tham gia vào các nhóm làm việc năng động và chuyên nghiệp
Làm việc với các đồng nghiệp nhiệt tình, thân thiện trong môi trường cạnh tranh lành mạnh.
Được hưởng chế độ đãi ngộ thoả đáng (lương thưởng hấp dẫn, được tham gia các khóa đào tạo,…)
Có nhiều cơ hội phát triển bản thân và thăng tiến trong nghề nghiệp
Kết nối với nhiều đối tác trong và ngoài nước
View more
View less"
BLUE DRAGON COMMUNICATIONS,https://itviec.com/companies/blue-dragon-communications,,,"Apartment B1, D’ Verano Residential, Thu Thiem new urban area, An Khanh Ward, Ho Chi Minh",,,,,"BLUE DRAGON COMMUNICATIONS
Blue Dragon là công ty start up (product), quy mô công ty hiện từ 5-10 người, tầm nhìn chiến lược tới năm 2023 sẽ tăng quy mô lên 20-50 người. Công ty đang tìm kiếm các thành viên mới, cùng xây dựng công ty phát triển ngay từ những ngày đầu thành lập.","Company type
IT Product
Company industry
Software Products and Web Services
Company size
1-50
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT",,"Lương cao thỏa thuận theo năng lực và tinh thần làm việc
Review lương 1-2 lần/ 1 năm
Thưởng tết, quà sinh nhật, cafe, đồ ăn, trang thiết bị làm việc đầy đủ
BHXH và phép năm theo luật lao động
Môi trường thân thiện, dễ phát huy năng lực, học hỏi được nhiều công nghệ mới
View more
View less"
Tin học Đại dương,https://itviec.com/companies/tin-hoc-dai-duong,,,"76 Đường 13, Vạn Phúc, Hiep Binh, Ho Chi Minh",,,,,"Tin học Đại dương
Tin học Đại Dương được thành lập vào năm 2011, chuyên đào tạo và luyện thi chứng chỉ IC3, MOS, CNTT CB, CNTT NC","Company type
IT Product
Company industry
IT Services and IT Consulting
Company size
151-300
employees
Country
Vietnam
Working days
Monday - Saturday
Overtime policy
Extra salary for OT",,
